"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DEN07FA008","ACC","64681","2006-10-11T18:27:00Z","Denver","Colorado","United States",,"N906DA","53386","false","Aviation","DirectorBrief","2007-04-25T04:00:00Z",,"None","0","0","0","A fractured nose gear assembly spray deflector that blocked the nose gear from extending during landing, and resulted in an intentional nose gear up landing.",,,"39.861666999999997","-104.673057","McDonnell Douglas","MD-90-30","AIR","DEN","Denver International Airport","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64681/pdf"
"NYC06LA223","ACC","64632","2006-09-16T20:30:00Z","Hastings","Nebraska","United States",,"N793SA","27888","false","Aviation","DirectorBrief","2008-01-31T05:00:00Z",,"Serious","0","1","1","The airplane's in flight encounter with thunderstorm related turbulence.",,,"40.586112","-98.388335999999995","Boeing","737-700","AIR",,,"false","1","TF","SCHD",,"121","None","IMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64632/pdf"
"DCA06WA072","ACC","64515","2006-09-14T04:00:00Z","Subic Bay",,"Philippines",,"N623FE",,"false","Aviation","",,,"None","0","0","0",,,,,,"McDonnell Douglas","MD-11","AIR",,,"false",,,"NSCH",,"121","Substantial",,"FEDERAL EXPRESS CORP","Landing","N/A",,"Prelim","","None"
"NYC06LA222","ACC","64518","2006-09-08T19:23:00Z","New York","New York","United States",,"C-GJTA, N864RW","1673, 17000117","false","Aviation","DirectorBrief","2008-03-31T04:00:00Z",,"None","0","0","0","The Airbus first officer's misjudged clearance from the EMB-170.  Also causal was the ground controller's decision to issue a taxi clearance for the Airbus to pass behind the EMB-170. A factor to the accident was the light condition.",,,"40.777220999999997","-73.872496999999996","Airbus Industrie, Embraer","A319-112, EMB-170","AIR, AIR","LGA","La Guardia Airport","false, false","2, 2","TF, TF","SCHD, SCHD",,"129, 121","Minor, Substantial","VMC","AIR CANADA",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64518/pdf"
"DCA06FA068","ACC","64471","2006-09-05T17:01:00Z","San Juan","Puerto Rico","United States",,"N622DL","22912","false","Aviation","DirectorBrief","2008-03-31T04:00:00Z",,"None","0","0","0","the first officer's inadvertent application of full nose-up trim during a prolonged flare, resulting in an excessive pitch angle during landing and subsequent tailstrike.  Contributing to the accident was the flight crew's failure to correct the airplane's drift from the centerline approach course during short final approach, leading to the prolonged flare, and their improper decision to perform a practice autoland approach using a restricted procedure.",,,"18.469459000000001","-66.099761000000001","Boeing","B757-232","AIR","SJU","LUIS MUNOZ MARIN INTL","false","2","TF","SCHD",,"121","Substantial","VMC","DELTA AIR LINES INC",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64471/pdf"
"DCA06MA064","ACC","64393","2006-08-27T06:07:00Z","Lexington","Kentucky","United States","AAR0705","N431CA","7472","true","Aviation","Report","2007-09-27T04:00:00Z","2007-01-18T16:00:00Z","Fatal","49","1","0","the flight crewmembers's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross-check and verify that the airplane was on the correct runway before takeoff. Contributing to the accident were the flight crew's nonpertinent conversation during taxi, which resulted in a loss of positional awareness, and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specific air traffic control clearances.",,,"38.009849000000003","-84.480377000000004","Bombardier, Inc.","CRJ-100","AIR","LEX","BLUE GRASS","false","2","TF","SCHD",,"121","Destroyed","VMC","COMAIR INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=64393","https://www.ntsb.gov/investigations/Pages/DCA06MA064.aspx"
"DCA06FA058","ACC","64208","2006-07-28T11:25:00Z","Memphis","Tennessee","United States",,"N391FE","46625","false","Aviation","DirectorBrief","2008-12-30T05:00:00Z","2007-05-23T13:24:00Z","None","0","0","0","the failure of the left main landing gear due to fatigue cracking in the air filler valve hole on the aft side of the landing gear. The fatigue cracking occurred due to the presence of stray nickel plating in the air filler valve hole. Contributing to this was the inadequate maintenance procedures to prevent nickel plating from entering the air filler valve hole during overhaul.",,,"35.150534999999998","-90.049537000000001","BOEING","MD-10-10F","AIR","KMEM","Memphis International","false","3","TF","NSCH",,"121","Substantial","VMC","FEDERAL EXPRESS CORP",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=64208","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64208/pdf"
"NYC06FA184","ACC","64205","2006-07-27T09:45:00Z","Pittsburgh","Pennsylvania","United States",,"N529AU","24411","false","Aviation","DirectorBrief","2008-06-30T04:00:00Z",,"Minor","0","0","3","The airplane tug driver's inadvertent movement of the tug gear shift lever from forward to reverse, which resulted in the nose landing gear collapse. Contributing to the accident was the defective gear shift lever.",,,"40.488056","-80.226387000000003","Boeing","737-300","AIR","PIT","Pittsburgh International","false","2","TF","SCHD",,"121","Substantial","VMC","US AIRWAYS INC",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64205/pdf"
"NYC06LA191","ACC","64259","2006-07-24T13:00:00Z","Newark","New Jersey","United States",,"N703MR","145173","false","Aviation","DirectorBrief","2007-08-30T04:00:00Z",,"None","0","0","0","The captain's failure to follow company procedures, which resulted in pushback with the parking brake set.  A factor was the larger than preferred tug.",,,"40.692501","-74.168609000000004","Embraer","EMB-135LR","AIR","EWR","Newark Liberty International","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64259/pdf"
"DEN06LA095","ACC","64058","2006-07-07T08:00:00Z","Masonville","Colorado","United States",,"N839UA","1507","false","Aviation","DirectorBrief","2006-10-31T05:00:00Z",,"Serious","0","1","0","the flight's encounter with unexpected turbulence, which resulted in a passenger sustaining a fractured ankle.",,,"39.849997999999999","-104.677223","Airbus","A319-131","AIR",,,"false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64058/pdf"
"CHI06FA158","ACC","63963","2006-06-20T06:30:00Z","Chicago","Illinois","United States",,"N961TW","53611","false","Aviation","DirectorBrief","2007-11-29T05:00:00Z","2013-02-27T15:41:00Z","None","0","0","0","The jammed nose landing gear due to a failure of the nose landing gear spray deflector for undetermined reasons.",,,"41.978610000000003","-87.904724000000002","McDonnell Douglas","DC-9-83","AIR","ORD","CHICAGO O'HARE INTL","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=63963","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63963/pdf"
"NYC06LA151","ACC","63937","2006-06-17T15:25:00Z","Dulles","Virginia","United States",,"N653UA","25391","false","Aviation","DirectorBrief","2007-03-26T04:00:00Z",,"None","0","0","0","The driver's failure to follow company standard operating procedures.  A factor was the driver's diverted attention to an on-time departure.",,,"38.944999000000003","-77.456665000000001","Boeing","767-300","AIR","IAD","Washington-Dulles","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63937/pdf"
"CHI06LA161","ACC","63953","2006-06-08T17:00:00Z","New York","New York","United States",,"N403TZ","24664","false","Aviation","DirectorBrief","2007-05-29T04:00:00Z",,"None","0","0","0","The foreign object damage to the horizontal stabilizer during taxi as a result of improper airport maintenance by contract maintenance personnel.  The aluminum plate was a factor.",,,"40.777220999999997","-73.872496999999996","Boeing","737-300","AIR","LGA","LA GUARDIA","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63953/pdf"
"DCA06WA049","ACC","63858","2006-06-07T04:00:00Z","Rio Negro",,"Colombia",,"N922FT",,"false","Aviation","",,,"None","0","0","0",,,,,,"Boeing","747-200","AIR",,,"false",,,"NSCH",,"121","Substantial",,"TRADEWINDS AIRLINES INC",,"N/A",,"Prelim","","None"
"DCA06RA042","ACC","63830","2006-06-04T04:00:00Z","Managua",,"Nicaragua",,"N68047",,"false","Aviation","",,,"None","0","0","0",,,,,,"McDonnell Douglas","DC10-10F","AIR",,,"false",,,"NSCH",,"121","Substantial",,"ARROW AIR INC",,"N/A",,"Prelim","","None"
"NYC06FA128","ACC","63799","2006-05-30T20:43:00Z","Dulles","Virginia","United States",,"N651RW","17000072","false","Aviation","DirectorBrief","2008-03-31T04:00:00Z",,"Serious","0","1","0","Improper servicing of the nose landing gear strut and the operator's inadequate maintenance procedure.  A factor was the inadequate checklist provided to the flight crew by the operator.",,,"38.944442000000002","-77.455557999999996","Embraer","EMB-170","AIR","IAD","Dulles International Airport","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63799/pdf"
"NYC06LA115","ACC","64159","2006-05-13T16:00:00Z","Winchester","Virginia","United States",,"N653AE","145433","false","Aviation","DirectorBrief","2007-03-26T04:00:00Z",,"Serious","0","1","0","The passenger's failure to heed the flight attendant warning and the seat belt sign.  A factor was the turbulence.",,,"39.138331999999998","-78.120001999999999","Embraer","145LR","AIR",,,"false","2","TF","SCHD",,"121","None","IMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/64159/pdf"
"NYC06LA114","ACC","63676","2006-05-12T19:10:00Z","Boston","Massachusetts","United States",,"N275SK","1450345","false","Aviation","DirectorBrief","2007-06-27T04:00:00Z",,"Minor","0","0","1","The tug driver's inadequate visual lookout, which resulted in a collision with a parked airplane.  A factor was the fog.",,,,,"Embraer","EMB-145-LR","AIR","BOS","General Edward Lawrence Logan","false","2","TF","SCHD",,"121","Substantial","IMC","Chautauqua Airlines Inc.",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63676/pdf"
"LAX06LA154","ACC","63610","2006-04-30T23:01:00Z","Las Vegas","Nevada","United States",,"N909FJ","15009","false","Aviation","DirectorBrief","2007-04-25T04:00:00Z",,"None","0","0","0","The failure of ground service personnel to properly set the parking brake on the lead baggage cart.",,,"36.080001000000003","-115.152221","Bombardier, Inc.","CL-600-2D24","AIR","LAS","Mc Carran International","false","2","TF","SCHD",,"121","Substantial","VMC","Mesa Airlines, Inc.",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63610/pdf"
"DFW06LA115","ACC","63601","2006-04-25T17:30:00Z","DFW Int'l Apt","Texas","United States",,"N789AN","30252","false","Aviation","DirectorBrief","2006-07-31T04:00:00Z",,"Serious","0","1","0","The in-flight encounter with turbulence in clouds resulting in a flight attendant being injured.",,,,,"Boeing","777-233ER","AIR","DFW","Dallas/Fort Worth Int'l","false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63601/pdf"
"DCA06WA035","ACC","63562","2006-04-19T06:55:00Z","Shanghai",,"China",,"N216UA",,"false","Aviation","",,,"Serious","0","1","4",,,,,,"Boeing","777","AIR",,,"false",,,"SCHD",,"121","None",,"UNITED AIR LINES INC",,"N/A",,"Prelim","","None"
"NYC06LA099","ACC","63575","2006-04-15T16:15:00Z","Front Royal","Virginia","United States",,"N934EV","8028","false","Aviation","DirectorBrief","2006-08-29T04:00:00Z",,"Serious","0","1","0","An inadvertent encounter with clear air turbulence.",,,"38.964720999999997","-78.362503000000004","Bombardier, Inc.","CL600-2B19","AIR",,,"false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63575/pdf"
"DCA06FA033","ACC","63444","2006-04-04T16:45:00Z","Memphis","Tennessee","United States",,"N386FE","46620","false","Aviation","DirectorBrief","2011-04-27T04:00:00Z",,"None","0","0","0","The rupture of a fatigue crack in the forward air seal tooth serration of the No. 3 engine low pressure turbine stage 1 disk that initiated due to an improper weld repair performed during original manufacture. The improper weld repair changed the material properties of the disk near the weld feature, resulting in an accelerated crack propagation rate that allowed the crack to grow to rupture before the next inspection interval. Contributing to the severity of the accident was the inability of the flight crew to shutdown the engine as a result of the damage caused by a liberated piece of the low pressure turbine stage 1 disk when it punctured the right wing.",,,"35.149940000000001","-90.049391999999997","MCDONNELL DOUGLAS","DC10","AIR","KMEM","Memphis International Airport","false","3","TF","NSCH",,"121","Substantial","VMC","FEDEX EXPRESS",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63444/pdf"
"CHI06LA099","ACC","63409","2006-03-15T17:14:00Z","Omaha","Nebraska","United States",,"N518UA","24871","false","Aviation","DirectorBrief","2007-04-25T04:00:00Z",,"Serious","0","1","0","An inadvertent encounter with unforecast mountain wave turbulence during cruise flight.  A contributing factor was the mountain wave (terrain induced) turbulence.",,,"41.303054000000003","-95.894165000000001","Boeing","757-222","AIR","OMA","Eppley Airfield","false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63409/pdf"
"CHI06LA092","ACC","63412","2006-03-13T23:15:00Z","Alpena","Michigan","United States",,"N421XJ","340B-421","false","Aviation","DirectorBrief","2007-04-25T04:00:00Z",,"None","0","0","0","The station agent's inability to maintain control of the stroller when he lost his balance exiting the airplane's cargo compartment, allowing it to be blown into the operating right propeller.  A factor was the high, gusty winds.",,,"45.078055999999997","-83.560278999999994","Saab-Scania AB (Saab)","340B","AIR","APN","Alpena County Regional","false","2","TP","SCHD",,"121","Substantial","VMC","Mesaba Aviation Inc.",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63412/pdf"
"NYC06LA074","ACC","63274","2006-02-25T20:15:00Z","Boston","Massachusetts","United States",,"N697DL","30318","false","Aviation","DirectorBrief","2007-03-26T04:00:00Z",,"None","0","0","0","The deice vehicle driver's failure to maintain clearance from a standing airplane, which resulted in a collision between the deice vehicle and left elevator of the airplane.",,,"42.364443999999999","-71.005279000000002","Boeing","757-232","AIR","BOS","General Edward Lawrence Logan","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63274/pdf"
"DCA06MA022","ACC","63204","2006-02-08T00:59:00Z","Philadelphia","Pennsylvania","United States","AAR0707","N748UP","45948","true","Aviation","Report","2008-01-31T05:00:00Z","2006-07-12T13:30:00Z","Minor","0","0","3","an in-flight cargo fire that initiated from an unknown source, which was most likely located within cargo container 12, 13, or 14. Contributing to the loss of the aircraft were the inadequate certification test requirements for smoke and fire detection systems and the lack of an on-board fire suppression system.",,,"39.950862000000001","-75.170874999999995","Douglas","DC-8","AIR","PHL","PHILADELPHIA INTL","false","4","TF","NSCH",,"121","Destroyed","VMC","UNITED PARCEL SERVICE CO",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=63204","https://www.ntsb.gov/investigations/Pages/DCA06MA022.aspx"
"DFW06FA056","ACC","63103","2006-01-16T10:05:00Z","El Paso","Texas","United States",,"N32626","27530","false","Aviation","DirectorBrief","2008-01-31T05:00:00Z","2008-01-04T22:10:00Z","Fatal","1","0","0","the mechanic's failure to maintain proper clearance with the engine intake during a jet engine run, and the failure of contract maintenance personnel to follow written procedures and directives contained in the airline's general maintenance manual.  Factors contributing to the accident were the insufficient training provided to the contract mechanics by the airline, and the failure of the airport to disseminate a policy prohibiting ground engine runs above idle power in the terminal area.",,,,,"Boeing","737-524","AIR","KELP","El Paso International Airport","false","2","TJ","SCHD",,"121","Minor","VMC","Continental Airlines",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=63103","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/63103/pdf"
"SEA06LA033","ACC","62990","2005-12-26T17:35:00Z","Seattle","Washington","United States",,"N979AS","53471","false","Aviation","DirectorBrief","2006-08-29T04:00:00Z","2006-04-17T15:48:00Z","None","0","0","0","The ground personnel baggage handler failed to maintain clearance from the aircraft with cargo handling equipment during ground operations and inadvertently damaged the airplane's pressure bulkhead which subsequently decompressed during climb to cruise.",,,"47.448889999999999","-122.309448","McDonnell Douglas","MD-83","AIR","SEA","Seattle-Tacoma Intern Arpt","false","2","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62990","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62990/pdf"
"DCA06MA010","ACC","62962","2005-12-19T15:39:00Z","Miami","Florida","United States","AAR0704","N2969","J27","true","Aviation","Report","2007-08-30T04:00:00Z","2006-06-22T13:00:00Z","Fatal","20","0","0","The in-flight failure and separation of the right wing during normal flight, which resulted from (1) the failure of the Chalk's Ocean Airways maintenance program to identify and properly repair fatigue cracks in the right wing and (2) the failure of the Federal Aviation Administration to detect and correct deficiencies in the company's maintenance program.",,,"25.780861999999999","-80.199675999999997","Grumman","G-73T","AIR","X44","Miami Seaplane Base","false","2","TP","SCHD",,"121","Destroyed","VMC","FLYING BOAT INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62962","https://www.ntsb.gov/investigations/Pages/DCA06MA010.aspx"
"ATL06LA024","ACC","62983","2005-12-14T03:30:00Z","Memphis","Tennessee","United States",,"N213FE","22935","false","Aviation","DirectorBrief","2006-05-30T04:00:00Z",,"Serious","0","1","0","The improper towing of the airplane by the tug operator which resulted in the shearing of the towbar shear pin and subsequent collision of the airplane and tug.",,,"35.038612000000001","-89.972778000000005","Boeing","727-2S2F","AIR","MEM","Memphis International","false","3","TJ","NSCH",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62983/pdf"
"DCA06MA009","ACC","62926","2005-12-08T20:15:00Z","Chicago","Illinois","United States","AAR0706","N471WN","32471","true","Aviation","Report","2007-11-29T05:00:00Z","2006-06-20T13:00:00Z","Fatal","1","1","21","The pilots' failure to use available reverse thrust in a timely manner to safely slow or stop the airplane after landing, which resulted in a runway overrun.  This failure occurred because the pilots' first experience and lack of familiarity with the airplane's autobrake system distracted them from thrust reverser usage during the challenging landing.

Contributing to the accident were Southwest Airline's 1) failure to provide its pilots with clear and consistent guidance and training regarding company policies and procedures related to arrival landing distance calculations; 2) programming and design of its onboard performance computer, which did not present inherent assumptions in the program critical to pilot decision making; 3) plan to implement new autobrake procedures without a familiarization period; and 4) failure to include a margin of safety in the arrival assessment to account for operational uncertainties.  Also contributing to the accident was the pilots' failure to divert to another airport given reports that included poor braking action and a tailwind component greater than 5 knots.  Contributing to the severity of the accident was the absence of an engineering materials arresting system, which was needed because of the limited runway safety area beyond the departure end of runway 31C.",,,"41.780338","-87.770270999999994","Boeing","737-700","AIR","MDW","Midway Airport","false","2","TF","SCHD",,"121","Substantial","IMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62926","https://www.ntsb.gov/investigations/Pages/DCA06MA009.aspx"
"CHI06LA038","ACC","62905","2005-11-28T22:53:00Z","Chicago","Illinois","United States",,"N359FE","46635","false","Aviation","DirectorBrief","2006-04-25T04:00:00Z",,"None","0","0","0","The failure of the flight crew to see and avoid the crew stairs and the failure of unknown persons to properly secure the stairs after use.  Factors associated with the accident were the dark light conditions and the gusty winds.",,,"41.979720999999998","-87.904441000000006","McDonnell Douglas","MD-10","AIR","ORD","O'Hare International","false","3","TF","NSCH",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62905/pdf"
"NYC06LA033","ACC","62856","2005-11-19T23:18:00Z","State College","Pennsylvania","United States",,"N734MA","30039","false","Aviation","DirectorBrief","2007-09-27T04:00:00Z","2007-09-03T18:52:00Z","None","0","0","0","The pilot's improper touchdown and recovery from a bounced landing.  Factors to the accident were the operator's failure to provide sufficient information on the use of autothrottles and bounced landing recovery techniques, along with the Federal Aviation Administration's failure to require the inclusion of mixed-mode flight control guidance and bounced landing recovery techniques in operator pilot training programs and flight manuals.",,,"40.849165999999997","-77.848608999999996","Boeing","737-800","AIR","UNV","University Park Airport","false","2","TF","NSCH",,"121","Substantial","VMC","Miami Air International",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62856","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62856/pdf"
"DCA06WA008","ACC","62911","2005-11-06T13:38:00Z","Heathrow IAP",,"United Kingdom",,"N781AN, TC-JDK",,"false","Aviation","",,,"None","0","0","0",,,,,,"Boeing, Airbus","B-777, A340","AIR, AIR",,,"false, false",,,"SCHD, SCHD",,"121, NUSC","Substantial",,"AMERICAN AIRLINES COMMERCIAL FLIGHT OPERATIONS",,"N/A",,"Prelim","","None"
"CHI06LA016","ACC","62773","2005-10-26T08:00:00Z","Covington","Kentucky","United States",,"N391CA","10108","false","Aviation","DirectorBrief","2006-08-29T04:00:00Z",,"Serious","0","1","0","The passenger falling while exiting the aircraft using the door-stair during normal deplaning.",,,"39.046112000000001","-84.663887000000003","Bombardier, Inc.","CL-600-2C10","AIR","CVG","Cincinnati / Northern Kentucky","false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62773/pdf"
"NYC06LA016","ACC","62719","2005-10-22T14:40:00Z","Atlantic Ocean","Atlantic Ocean","United States",,"N378DA","29624","false","Aviation","DirectorBrief","2006-10-03T04:00:00Z",,"Serious","0","1","2","An encounter with turbulence during cruise flight.",,,"37.635696000000003","-72.860800999999995","Boeing","737-832","AIR",,,"false","2","TF","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62719/pdf"
"NYC06LA011","ACC","62687","2005-10-16T23:20:00Z","Ogdensburg","New York","United States",,"N144ZV","UE-144","false","Aviation","DirectorBrief","2006-10-03T04:00:00Z",,"None","0","0","0","A collision with a coyote during the takeoff roll, which resulted in a nosegear collapse and subsequent impact with the runway.  A factor was the nighttime condition.",,,"44.681944999999999","-75.465553","Beech","1900D","AIR","OGS","Ogdensburg International Airpo","false","2","TP","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62687/pdf"
"LAX06LA009","ACC","62654","2005-10-12T20:18:00Z","Phoenix","Arizona","United States",,"N755SA, N624SW","27871, 27934","false","Aviation","DirectorBrief","2007-02-26T05:00:00Z",,"None","0","0","0","failure of the flight crew to maintain an adequate clearance from a stationary Boeing 737.",,,"33.433334000000002","-111.984725","Boeing, Boeing","737-7H4, 737-3H4","AIR, AIR","PHX","PHOENIX SKY HARBOR INTL","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62654/pdf"
"NYC06LA002","ACC","62593","2005-10-03T11:00:00Z","Dulles","Virginia","United States",,"N650RW","17000071","false","Aviation","DirectorBrief","2008-06-30T04:00:00Z",,"Serious","0","1","0","The flight crew's excessive maneuver in response to a traffic alert during the landing approach.",,,"38.939998000000003","-77.453329999999994","Embraer","170","AIR","IAD","Dulles International Airport","false","2","TJ","SCHD",,"121","None","VMC",,,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62593/pdf"
"DCA05MA099","ACC","62490","2005-09-18T18:12:00Z","Fort Lauderdale","Florida","United States",,"N583NK","1195","false","Aviation","DirectorBrief","2007-02-26T05:00:00Z","2006-08-01T17:45:00Z","None","0","0","0","Following a bounced landing, the pilot in command activated his sidestick controller while the first officer was in control of the airplane, which subsequently resulted in the overcontrol of pitch and a tailstrike.  Contributing to the circumstances of this accident were the pilot-in-command's failure to properly activate his sidestick takeover push button prior to his remedial action, and the operator's insufficient emphasis on bounced landing recovery techniques and tailstrike avoidance procedures.",,,"26.120054","-80.129301999999996","Airbus","A321-231","AIR","FLL","Hollywood Intl Airport","false","2","TF","SCHD",,"121","Substantial","VMC","SPIRIT AIRLINES INC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62490","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62490/pdf"
"SEA05LA184","ACC","62356","2005-08-29T14:09:00Z","Portland","Oregon","United States",,"N855NW, N363PH","0621, 520","false","Aviation","DirectorBrief","2006-03-28T05:00:00Z",,"None","0","0","0","The failure of the flight crew to maintain adequate clearance while taxiing.",,,"45.588611","-122.597503","Airbus Industrie, Bombardier, Inc.","A330-223, DHC-8-202","AIR, AIR","PDX","Portland International","false, false","2, 2","TF, TP","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","Horizon Air",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62356/pdf"
"CHI05LA238","ACC","62330","2005-08-20T08:54:00Z","Chicago","Illinois","United States",,"N557TZ","32591","false","Aviation","DirectorBrief","2007-06-27T04:00:00Z",,"None","0","0","0","The flightcrew's failure to maintain clearance from a fence while taxiing.",,,"41.787497999999999","-87.754165","Boeing","757-33N","AIR","MDW","CHICAGO MIDWAY","false","2","TF","SCHD",,"121","Substantial","VMC","AMERICAN TRANS AIR INC",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62330/pdf"
"DCA05MA095","ACC","62281","2005-08-19T04:00:00Z","Agana",,"United States",,"N627US","21709","false","Aviation","DirectorBrief","2008-12-30T05:00:00Z","2008-05-02T16:07:00Z","Minor","0","0","2","the flight crews' failure to verify that the number of landing gear annunciations on the second officer’s panel was consistent with the number specified in the abnormal/emergency procedures checklist, which led to a landing with the nose gear retracted.",,,,,"BOEING","747-200","AIR","GUM","Guam-Antonio B. Won Pat","false","4","TF","SCHD",,"121","Substantial","VMC",,,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=62281","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/62281/pdf"
